datetime,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote
2021-07-16 22:00:00,1894.61,1904.0,1875.45,1879.34,105155.898,198560014.49485,103549,49868.98,94212875.83467
2021-07-16 23:00:00,1879.33,1885.76,1869.63,1876.1,104488.85,196176598.7737,99822,55188.18,103632306.46592
2021-07-17 00:00:00,1876.09,1899.0,1863.57,1898.99,203604.979,382505967.13647,171657,105673.317,198639548.98068
2021-07-17 01:00:00,1898.98,1900.0,1865.02,1873.31,121245.181,228268140.64003,120386,57693.313,108626826.86345
2021-07-17 02:00:00,1873.23,1875.24,1856.66,1865.31,148665.568,277174701.39871,131624,70014.472,130566197.39763
2021-07-17 03:00:00,1865.32,1876.44,1860.62,1866.71,102165.486,190961713.61484,91285,56486.117,105597296.75642
2021-07-17 04:00:00,1866.72,1886.0,1860.95,1879.35,106381.122,199275214.71462,104964,56809.597,106443970.87668
2021-07-17 05:00:00,1879.36,1889.92,1877.0,1885.73,93351.334,175850328.38155,90466,46249.866,87140589.62577
2021-07-17 06:00:00,1885.76,1894.65,1881.13,1892.91,75151.471,141879622.87696,82845,40183.674,75873663.43347
2021-07-17 07:00:00,1892.91,1893.75,1876.03,1877.18,79811.455,150180275.81479,81450,38622.546,72675790.47586
2021-07-17 08:00:00,1877.18,1910.0,1866.0,1895.24,248054.674,468652749.11168,196063,129631.387,244917923.08806
2021-07-17 09:00:00,1895.24,1899.21,1876.94,1880.14,144270.374,272467068.16228,128038,69450.871,131183121.616
2021-07-17 10:00:00,1880.13,1880.93,1851.02,1851.67,245752.721,458097444.21796,192341,111572.729,208030276.50519
2021-07-17 11:00:00,1851.72,1868.41,1841.0,1863.43,175319.044,325712948.99232,149303,89880.888,167072300.40519
2021-07-17 12:00:00,1863.48,1877.48,1858.45,1872.61,121651.209,227443201.65687,108894,60869.853,113818603.32443
2021-07-17 13:00:00,1872.6,1895.0,1860.57,1881.11,213724.206,401329835.08805,175299,110805.912,208135984.3837
2021-07-17 14:00:00,1881.12,1892.0,1878.72,1880.75,113469.08,213789338.46195,111514,57108.613,107634425.83293
